generation_index,target_raw_property,num_atoms,valid,rdkit_mol_created,has_unresolved_mask,atom_mask_remaining,charge_mask_remaining,bond_mask_remaining,sanitize_ok,single_component,smiles_ok,written_to_sdf,sdf_filename,sdf_path,smiles,canonical_smiles,is_unique_generated,duplicate_of_generation_index,dataset_membership_checked,in_train_dataset,in_val_dataset,in_test_dataset,in_any_dataset,is_novel,error
0,0.5,82,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 13 24 45 50 51 71
1,0.5,96,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 92 H, 2, is greater than permitted"
2,0.5,97,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 11 30 38 55 61 63 65 66 68
3,0.5,96,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 7 10 11 13 17 20 26 28 30 41 49 51 53 59 64 69 70 71 72 78 84 89 92 93
4,0.5,67,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,AtomKekulizeException: non-ring atom 14 marked aromatic
5,0.5,57,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 30 C, 5, is greater than permitted"
6,0.5,105,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 33 C, 5, is greater than permitted"
7,0.5,85,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 8 14 30 50 59 62 69 73
8,0.5,111,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 11 12 14 16 17 18 27 30 31 35 36 38 44 47 48 50 52 53 55 57 58 62 63 66 72 74 78 79 80 81 83 84 86 87 94 96 104 106 108
9,0.5,70,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 11 14 19 21 22 46 47 51 53 67 68 69
10,0.5,98,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 8 14 18 20 39 43 46 47 49 51 54 59 60 66 70 76 77 80 86 90 93 95 96
11,0.5,76,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 6 H, 2, is greater than permitted"
12,0.5,99,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 52 O, 3, is greater than permitted"
13,0.5,73,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 9 19 23 28 30 38 40 41 45 48 56 59 64 67 71 72
14,0.5,82,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 3 15 18 41 61 74
15,0.5,68,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 2 H, 2, is greater than permitted"
16,0.5,64,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 62 O, 3, is greater than permitted"
17,0.5,105,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 85 C, 5, is greater than permitted"
18,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 9 36 81 93
19,0.5,59,True,True,False,False,False,False,True,True,True,True,00019.sdf,/home/jovyan/cpu-only-1-datavol-1/psg/generation/Excited_Guidance/generated/20260825_061939/sdf/00019.sdf,[H]c1nc2nc(c1[H])c1c(C#N)c([H])c([H])c([H])c1c1c([H])n([H])c3nc4c([H])nc5c6c([H])c([H])c([H])c7c([H])c([H])c(c8c([H])nnc2c8[H])c(c([H])c5c4c13)c76,[H]c1nc2nc(c1[H])c1c(C#N)c([H])c([H])c([H])c1c1c([H])n([H])c3nc4c([H])nc5c6c([H])c([H])c([H])c7c([H])c([H])c(c8c([H])nnc2c8[H])c(c([H])c5c4c13)c76,True,,True,False,False,False,False,True,
20,0.5,71,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 5 7 8 19 23 25 26 29 32 35 36 46 47 48 52 53 61 64 66 67 69
21,0.5,76,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 19 22 23 25 33 44 53 59 66
22,0.5,91,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 23 H, 2, is greater than permitted"
23,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 17 S, 7, is greater than permitted"
24,0.5,79,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 9 18 29 40 43 63 64 66 75
25,0.5,91,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 13 H, 2, is greater than permitted"
26,0.5,106,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 103 C, 5, is greater than permitted"
27,0.5,101,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 59 O, 2, is greater than permitted"
28,0.5,71,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 3 C, 5, is greater than permitted"
29,0.5,80,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,AtomKekulizeException: non-ring atom 20 marked aromatic
30,0.5,62,True,True,False,False,False,False,True,True,True,True,00030.sdf,/home/jovyan/cpu-only-1-datavol-1/psg/generation/Excited_Guidance/generated/20260825_061939/sdf/00030.sdf,[H]c1nc2c(C#N)c([H])c([H])c([H])c2nc1-c1c([H])c2c([H])c3c([H])nc(-c4c([H])c([H])n([H])c4[H])c4c5c([H])c([H])c([H])c5c([H])c([H])c4c3nc2c2c([H])nc([H])c([H])c12,[H]c1nc2c(C#N)c([H])c([H])c([H])c2nc1-c1c([H])c2c([H])c3c([H])nc(-c4c([H])c([H])n([H])c4[H])c4c5c([H])c([H])c([H])c5c([H])c([H])c4c3nc2c2c([H])nc([H])c([H])c12,True,,True,False,False,False,False,True,
31,0.5,111,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 4 11 15 20 21 27 31 44 51 53 63 64 68 69 74 84 109
32,0.5,99,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 59 H, 3, is greater than permitted"
33,0.5,77,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 13 20 24 25 37 40 42 51 54 57 62 66 67 68 69 70 71
34,0.5,50,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 9 12 13 16 17 18 21 27 29 32 35 39 42 43
35,0.5,86,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 5 12 13 15 22 23 24 25 26 28 30 31 32 33 34 36 37 38 39 42 43 45 46 47 48 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64 65 68 70 71 72 73 75 76 77 78 79 80 82
36,0.5,75,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 18 30 51 70
37,0.5,93,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 50 H, 2, is greater than permitted"
38,0.5,87,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 15 O, 3, is greater than permitted"
39,0.5,97,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 6 C, 5, is greater than permitted"
40,0.5,85,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 5 7 12 14 21 24 30 34 35 37 55 60 74 81
41,0.5,82,True,True,False,False,False,False,True,True,True,True,00041.sdf,/home/jovyan/cpu-only-1-datavol-1/psg/generation/Excited_Guidance/generated/20260825_061939/sdf/00041.sdf,[H]C(=O)c1nc([H])c(-c2c([H])c([H])c3c(c2[H])c2c([H])c([H])c([H])c([H])c2n3-c2c([H])c([H])c(-c3nc([H])c(N([H])C4=NC([H])=C([H])c5nc6c(nc5=C4[H])C([H])=C([H])C([H])=c4c([H])c([H])c([H])c([H])c4=6)c([H])c3C#N)n2[H])c([H])c1[H],[H]C(=O)c1nc([H])c(-c2c([H])c([H])c3c(c2[H])c2c([H])c([H])c([H])c([H])c2n3-c2c([H])c([H])c(-c3nc([H])c(N([H])C4=NC([H])=C([H])c5nc6c(nc5=C4[H])C([H])=C([H])C([H])=c4c([H])c([H])c([H])c([H])c4=6)c([H])c3C#N)n2[H])c([H])c1[H],True,,True,False,False,False,False,True,
42,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 5 C, 5, is greater than permitted"
43,0.5,70,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 6 13
44,0.5,104,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 19 H, 2, is greater than permitted"
45,0.5,83,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 8 9 16 20 21 25 27 30 31 33 36 37 42 50 51 58 59 74 75 77
46,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 90 C, 5, is greater than permitted"
47,0.5,64,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 42 H, 2, is greater than permitted"
48,0.5,109,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 6 9 14 42 44 62 70 81 88 96
49,0.5,60,False,True,False,False,False,False,True,False,False,False,,,,,,,True,,,,,,ValueError: molecule contains 2 disconnected fragments
50,0.5,94,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 23 C, 5, is greater than permitted"
51,0.5,88,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 57 H, 2, is greater than permitted"
52,0.5,86,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 12 29 38 48 55 59 67 68
53,0.5,108,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 91 H, 3, is greater than permitted"
54,0.5,76,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 45 H, 2, is greater than permitted"
55,0.5,69,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 12 24 31 33 35 36 37 39 40 41 47 55 59 61 67
56,0.5,63,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 7 14 20 22 23 24 27 28 29 32 33 37 43 45 53 56 62
57,0.5,77,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 57 H, 2, is greater than permitted"
58,0.5,117,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 61 C, 5, is greater than permitted"
59,0.5,90,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 46 C, 6, is greater than permitted"
60,0.5,99,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 46 H, 2, is greater than permitted"
61,0.5,90,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 28 N, 6, is greater than permitted"
62,0.5,80,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 6 13 16 18 22 23 24 60 63 69 77
63,0.5,104,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 21 C, 5, is greater than permitted"
64,0.5,93,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 49 O, 3, is greater than permitted"
65,0.5,108,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 4 50 54 64 78 102
66,0.5,79,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 10 20 21 22 23 32 36 37 38 41 42 52 55 58 59 62 63 67 69 71
67,0.5,109,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 4 10 12 35 44 48 53 58 60 75 78 80 88 95 99 101
68,0.5,106,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 11 28 52 60 61 65 80
69,0.5,95,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 2 C, 5, is greater than permitted"
70,0.5,71,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 19 30 36 37 40 43 57 70
71,0.5,82,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 34 S, 7, is greater than permitted"
72,0.5,80,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,AtomKekulizeException: non-ring atom 77 marked aromatic
73,0.5,76,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 8 10 13 24 29 32 35 37 41 57 59 60 66 67 69 72 74
74,0.5,91,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 76 C, 5, is greater than permitted"
75,0.5,83,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 25 C, 5, is greater than permitted"
76,0.5,61,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 11 16 17 34 44 52 56 57
77,0.5,60,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 17 C, 6, is greater than permitted"
78,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 7 9 13 16 17 19 24 26 30 41 46 58 63 78 95 97 98
79,0.5,97,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 56 H, 2, is greater than permitted"
80,0.5,80,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 34 C, 6, is greater than permitted"
81,0.5,94,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 10 13 15 20 21 24 41 44 56 60 73 75 85 89
82,0.5,102,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 17 26 27 37 39 57 64 65 72 83 99
83,0.5,92,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 8 12 13 14 16 18 19 23 26 27 30 33 34 35 36 37 38 40 48 49 50 51 52 58 59 60 63 65 66 67 69 70 71 72 73 77 78 84 86 87 90 91
84,0.5,83,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 7 8 9 11 14 15 18 19 21 23 24 29 31 33 34 37 38 41 44 45 46 51 52 58 59 67 73 74
85,0.5,75,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 14 20 37 40 47 71 74
86,0.5,95,True,True,False,False,False,False,True,True,True,True,00086.sdf,/home/jovyan/cpu-only-1-datavol-1/psg/generation/Excited_Guidance/generated/20260825_061939/sdf/00086.sdf,[H]C([H])=C([H])C1=C([H])C([H])=C(SC([H])([H])[H])C([H])=c2c1nc1c(c2[H])C(C([H])([H])c2c([H])c([H])c3c4c(c2[H])c([H])c([H])c4c([H])c2c4c([H])c(-c5c([H])c([H])c([H])c([H])c5[H])c5nc([H])c([H])c6c7c([H])c([H])c8c([H])c([H])c(c23)c(c87)c4c56)=C(N([H])[H])C([H])=C([H])C=1[H],[H]C([H])=C([H])C1=C([H])C([H])=C(SC([H])([H])[H])C([H])=c2c1nc1c(c2[H])C(C([H])([H])c2c([H])c([H])c3c4c(c2[H])c([H])c([H])c4c([H])c2c4c([H])c(-c5c([H])c([H])c([H])c([H])c5[H])c5nc([H])c([H])c6c7c([H])c([H])c8c([H])c([H])c(c23)c(c87)c4c56)=C(N([H])[H])C([H])=C([H])C=1[H],True,,True,False,False,False,False,True,
87,0.5,74,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 8 H, 2, is greater than permitted"
88,0.5,88,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 32 S, 8, is greater than permitted"
89,0.5,111,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 80 H, 2, is greater than permitted"
90,0.5,80,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 14 39 47 58 76
91,0.5,105,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 5 8 11 23 24 29 39 40 42 44 46 47 56 65 67 83 87 91 95 101
92,0.5,89,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 16 18 26 49 52 66 70 77 87 88
93,0.5,95,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 1 H, 2, is greater than permitted"
94,0.5,98,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 10 15 18 20 25 28 31 34 42 47 49 56 58 60 65 69 76 82 84 91 92 94 96 97
95,0.5,87,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 24 31 41 50 61 64 68 70 71 81 85
96,0.5,110,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 10 12 17 18 23 24 27 33 36 41 48 52 54 58 64 66 70 71 75 81 84 86 93 96 97 98 104 105 106 108 109
