epoch,lr-Adam,step,train_a_loss,train_c_loss,train_e_loss,train_total_loss_epoch,train_total_loss_step,train_x_loss,val_cond_a_loss,val_cond_c_loss,val_cond_e_loss,val_cond_total_loss,val_cond_total_loss_bar,val_cond_x_loss,val_condition_gain,val_shuffled_condition_total_loss
,0.00025,49,,,,,,,,,,,,,,
0,,49,,,,,9.737016677856445,,,,,,,,,
,0.00025,99,,,,,,,,,,,,,,
0,,99,,,,,7.773769378662109,,,,,,,,,
,0.00025,149,,,,,,,,,,,,,,
0,,149,,,,,8.331579208374023,,,,,,,,,
,0.00025,199,,,,,,,,,,,,,,
0,,199,,,,,6.1594462394714355,,,,,,,,,
,0.00025,249,,,,,,,,,,,,,,
0,,249,,,,,4.291198253631592,,,,,,,,,
,0.00025,299,,,,,,,,,,,,,,
0,,299,,,,,2.9555552005767822,,,,,,,,,
,0.00025,349,,,,,,,,,,,,,,
0,,349,,,,,3.8724868297576904,,,,,,,,,
,0.00025,399,,,,,,,,,,,,,,
0,,399,,,,,4.8271403312683105,,,,,,,,,
,0.00025,449,,,,,,,,,,,,,,
0,,449,,,,,3.427009105682373,,,,,,,,,
,0.00025,499,,,,,,,,,,,,,,
0,,499,,,,,3.185701608657837,,,,,,,,,
,0.00025,549,,,,,,,,,,,,,,
0,,549,,,,,3.5424020290374756,,,,,,,,,
,0.00025,599,,,,,,,,,,,,,,
0,,599,,,,,1.8681024312973022,,,,,,,,,
,0.00025,649,,,,,,,,,,,,,,
0,,649,,,,,3.572608232498169,,,,,,,,,
,0.00025,699,,,,,,,,,,,,,,
0,,699,,,,,2.614288806915283,,,,,,,,,
,0.00025,749,,,,,,,,,,,,,,
0,,749,,,,,2.133979558944702,,,,,,,,,
,0.00025,799,,,,,,,,,,,,,,
0,,799,,,,,4.636942386627197,,,,,,,,,
,0.00025,849,,,,,,,,,,,,,,
0,,849,,,,,2.136969566345215,,,,,,,,,
,0.00025,899,,,,,,,,,,,,,,
0,,899,,,,,3.9309282302856445,,,,,,,,,
,0.00025,949,,,,,,,,,,,,,,
0,,949,,,,,3.652585029602051,,,,,,,,,
,0.00025,999,,,,,,,,,,,,,,
0,,999,,,,,2.7992515563964844,,,,,,,,,
,0.00025,1049,,,,,,,,,,,,,,
0,,1049,,,,,2.677222728729248,,,,,,,,,
,0.00025,1099,,,,,,,,,,,,,,
0,,1099,,,,,2.8519859313964844,,,,,,,,,
,0.00025,1149,,,,,,,,,,,,,,
0,,1149,,,,,3.3188602924346924,,,,,,,,,
,0.00025,1199,,,,,,,,,,,,,,
0,,1199,,,,,3.0156266689300537,,,,,,,,,
,0.00025,1249,,,,,,,,,,,,,,
0,,1249,,,,,2.3826446533203125,,,,,,,,,
,0.00025,1299,,,,,,,,,,,,,,
0,,1299,,,,,2.8338403701782227,,,,,,,,,
,0.00025,1349,,,,,,,,,,,,,,
0,,1349,,,,,2.3139822483062744,,,,,,,,,
,0.00025,1399,,,,,,,,,,,,,,
0,,1399,,,,,3.275402307510376,,,,,,,,,
,0.00025,1449,,,,,,,,,,,,,,
0,,1449,,,,,2.321047306060791,,,,,,,,,
,0.00025,1499,,,,,,,,,,,,,,
0,,1499,,,,,4.359058380126953,,,,,,,,,
,0.00025,1549,,,,,,,,,,,,,,
0,,1549,,,,,1.942981481552124,,,,,,,,,
,0.00025,1599,,,,,,,,,,,,,,
0,,1599,,,,,3.5604279041290283,,,,,,,,,
,0.00025,1649,,,,,,,,,,,,,,
0,,1649,,,,,1.7253332138061523,,,,,,,,,
,0.00025,1699,,,,,,,,,,,,,,
0,,1699,,,,,4.229608535766602,,,,,,,,,
0,,1736,,,,,,,0.6508449912071228,0.0166640542447567,0.05843305587768555,2.726125478744507,2.726125478744507,0.7774195075035095,0.00333631644025445,2.728499412536621
0,,1736,0.8442254066467285,0.020686591044068336,0.07884175330400467,3.7260913848876953,,1.0700111389160156,,,,,,,,
,0.00025,1749,,,,,,,,,,,,,,
1,,1749,,,,,2.5234854221343994,,,,,,,,,
,0.00025,1799,,,,,,,,,,,,,,
1,,1799,,,,,2.868536949157715,,,,,,,,,
,0.00025,1849,,,,,,,,,,,,,,
1,,1849,,,,,3.066702127456665,,,,,,,,,
,0.00025,1899,,,,,,,,,,,,,,
1,,1899,,,,,3.3719987869262695,,,,,,,,,
,0.00025,1949,,,,,,,,,,,,,,
1,,1949,,,,,2.2684695720672607,,,,,,,,,
,0.00025,1999,,,,,,,,,,,,,,
1,,1999,,,,,2.074626922607422,,,,,,,,,
,0.00025,2049,,,,,,,,,,,,,,
1,,2049,,,,,2.471536636352539,,,,,,,,,
,0.00025,2099,,,,,,,,,,,,,,
1,,2099,,,,,3.4601547718048096,,,,,,,,,
,0.00025,2149,,,,,,,,,,,,,,
1,,2149,,,,,2.319934129714966,,,,,,,,,
,0.00025,2199,,,,,,,,,,,,,,
1,,2199,,,,,2.987436056137085,,,,,,,,,
,0.00025,2249,,,,,,,,,,,,,,
1,,2249,,,,,2.5849525928497314,,,,,,,,,
,0.00025,2299,,,,,,,,,,,,,,
1,,2299,,,,,1.5258122682571411,,,,,,,,,
,0.00025,2349,,,,,,,,,,,,,,
1,,2349,,,,,3.183990478515625,,,,,,,,,
,0.00025,2399,,,,,,,,,,,,,,
1,,2399,,,,,3.0892751216888428,,,,,,,,,
,0.00025,2449,,,,,,,,,,,,,,
1,,2449,,,,,2.9549708366394043,,,,,,,,,
,0.00025,2499,,,,,,,,,,,,,,
1,,2499,,,,,1.8238486051559448,,,,,,,,,
,0.00025,2549,,,,,,,,,,,,,,
1,,2549,,,,,2.816279411315918,,,,,,,,,
,0.00025,2599,,,,,,,,,,,,,,
1,,2599,,,,,1.9099947214126587,,,,,,,,,
,0.00025,2649,,,,,,,,,,,,,,
1,,2649,,,,,3.470984697341919,,,,,,,,,
,0.00025,2699,,,,,,,,,,,,,,
1,,2699,,,,,1.8014602661132812,,,,,,,,,
,0.00025,2749,,,,,,,,,,,,,,
1,,2749,,,,,2.7886757850646973,,,,,,,,,
,0.00025,2799,,,,,,,,,,,,,,
1,,2799,,,,,3.365128755569458,,,,,,,,,
,0.00025,2849,,,,,,,,,,,,,,
1,,2849,,,,,2.9194531440734863,,,,,,,,,
,0.00025,2899,,,,,,,,,,,,,,
1,,2899,,,,,3.0695292949676514,,,,,,,,,
,0.00025,2949,,,,,,,,,,,,,,
1,,2949,,,,,1.6750524044036865,,,,,,,,,
,0.00025,2999,,,,,,,,,,,,,,
1,,2999,,,,,2.8601865768432617,,,,,,,,,
,0.00025,3049,,,,,,,,,,,,,,
1,,3049,,,,,2.1239607334136963,,,,,,,,,
,0.00025,3099,,,,,,,,,,,,,,
1,,3099,,,,,2.9842424392700195,,,,,,,,,
,0.00025,3149,,,,,,,,,,,,,,
1,,3149,,,,,2.541388750076294,,,,,,,,,
,0.00025,3199,,,,,,,,,,,,,,
1,,3199,,,,,1.1271783113479614,,,,,,,,,
,0.00025,3249,,,,,,,,,,,,,,
1,,3249,,,,,2.786656379699707,,,,,,,,,
,0.00025,3299,,,,,,,,,,,,,,
1,,3299,,,,,2.720454216003418,,,,,,,,,
,0.00025,3349,,,,,,,,,,,,,,
1,,3349,,,,,4.642428398132324,,,,,,,,,
,0.00025,3399,,,,,,,,,,,,,,
1,,3399,,,,,1.971555471420288,,,,,,,,,
,0.00025,3449,,,,,,,,,,,,,,
1,,3449,,,,,2.5623648166656494,,,,,,,,,
1,,3473,,,,,,,0.5857812762260437,0.01480888668447733,0.052409812808036804,2.451021671295166,2.451021671295166,0.6990272402763367,0.0005618352442979813,2.4511117935180664
1,,3473,0.6225708723068237,0.01632074825465679,0.0561802051961422,2.618379592895508,,0.7468896508216858,,,,,,,,
,0.00025,3499,,,,,,,,,,,,,,
2,,3499,,,,,1.3831429481506348,,,,,,,,,
,0.00025,3549,,,,,,,,,,,,,,
2,,3549,,,,,2.580671548843384,,,,,,,,,
,0.00025,3599,,,,,,,,,,,,,,
2,,3599,,,,,1.6371994018554688,,,,,,,,,
,0.00025,3649,,,,,,,,,,,,,,
2,,3649,,,,,2.363720178604126,,,,,,,,,
,0.00025,3699,,,,,,,,,,,,,,
2,,3699,,,,,2.199563503265381,,,,,,,,,
,0.00025,3749,,,,,,,,,,,,,,
2,,3749,,,,,3.8800535202026367,,,,,,,,,
,0.00025,3799,,,,,,,,,,,,,,
2,,3799,,,,,3.182743549346924,,,,,,,,,
,0.00025,3849,,,,,,,,,,,,,,
2,,3849,,,,,2.6718790531158447,,,,,,,,,
,0.00025,3899,,,,,,,,,,,,,,
2,,3899,,,,,4.1250834465026855,,,,,,,,,
,0.00025,3949,,,,,,,,,,,,,,
2,,3949,,,,,4.392538547515869,,,,,,,,,
,0.00025,3999,,,,,,,,,,,,,,
2,,3999,,,,,3.954941749572754,,,,,,,,,
,0.00025,4049,,,,,,,,,,,,,,
2,,4049,,,,,1.2701290845870972,,,,,,,,,
,0.00025,4099,,,,,,,,,,,,,,
2,,4099,,,,,1.5114853382110596,,,,,,,,,
,0.00025,4149,,,,,,,,,,,,,,
2,,4149,,,,,2.076396942138672,,,,,,,,,
,0.00025,4199,,,,,,,,,,,,,,
2,,4199,,,,,2.4337732791900635,,,,,,,,,
,0.00025,4249,,,,,,,,,,,,,,
2,,4249,,,,,4.492105007171631,,,,,,,,,
,0.00025,4299,,,,,,,,,,,,,,
2,,4299,,,,,1.6439000368118286,,,,,,,,,
,0.00025,4349,,,,,,,,,,,,,,
2,,4349,,,,,1.7383666038513184,,,,,,,,,
,0.00025,4399,,,,,,,,,,,,,,
2,,4399,,,,,1.404242992401123,,,,,,,,,
,0.00025,4449,,,,,,,,,,,,,,
2,,4449,,,,,2.4687020778656006,,,,,,,,,
,0.00025,4499,,,,,,,,,,,,,,
2,,4499,,,,,2.300767660140991,,,,,,,,,
,0.00025,4549,,,,,,,,,,,,,,
2,,4549,,,,,2.7000973224639893,,,,,,,,,
,0.00025,4599,,,,,,,,,,,,,,
2,,4599,,,,,2.4718267917633057,,,,,,,,,
,0.00025,4649,,,,,,,,,,,,,,
2,,4649,,,,,5.082771301269531,,,,,,,,,
,0.00025,4699,,,,,,,,,,,,,,
2,,4699,,,,,6.0895304679870605,,,,,,,,,
,0.00025,4749,,,,,,,,,,,,,,
2,,4749,,,,,2.3524937629699707,,,,,,,,,
,0.00025,4799,,,,,,,,,,,,,,
2,,4799,,,,,3.3590922355651855,,,,,,,,,
,0.00025,4849,,,,,,,,,,,,,,
2,,4849,,,,,3.551119804382324,,,,,,,,,
,0.00025,4899,,,,,,,,,,,,,,
2,,4899,,,,,2.5547678470611572,,,,,,,,,
,0.00025,4949,,,,,,,,,,,,,,
2,,4949,,,,,2.0037078857421875,,,,,,,,,
,0.00025,4999,,,,,,,,,,,,,,
2,,4999,,,,,4.450664043426514,,,,,,,,,
,0.00025,5049,,,,,,,,,,,,,,
2,,5049,,,,,4.954909801483154,,,,,,,,,
,0.00025,5099,,,,,,,,,,,,,,
2,,5099,,,,,3.409773349761963,,,,,,,,,
,0.00025,5149,,,,,,,,,,,,,,
2,,5149,,,,,2.814098834991455,,,,,,,,,
,0.00025,5199,,,,,,,,,,,,,,
2,,5199,,,,,2.1710362434387207,,,,,,,,,
2,,5210,,,,,,,0.5560325384140015,0.01409413293004036,0.0492364801466465,2.440617084503174,2.440617084503174,0.7018790245056152,0.008611728437244892,2.448596239089966
2,,5210,0.5751652121543884,0.01465232390910387,0.05163450911641121,2.459876537322998,,0.7039628028869629,,,,,,,,
,0.00025,5249,,,,,,,,,,,,,,
3,,5249,,,,,1.5024827718734741,,,,,,,,,
,0.00025,5299,,,,,,,,,,,,,,
3,,5299,,,,,1.8951014280319214,,,,,,,,,
,0.00025,5349,,,,,,,,,,,,,,
3,,5349,,,,,2.1955971717834473,,,,,,,,,
,0.00025,5399,,,,,,,,,,,,,,
3,,5399,,,,,0.9742683172225952,,,,,,,,,
,0.00025,5449,,,,,,,,,,,,,,
3,,5449,,,,,2.57296085357666,,,,,,,,,
,0.00025,5499,,,,,,,,,,,,,,
3,,5499,,,,,0.4401169717311859,,,,,,,,,
,0.00025,5549,,,,,,,,,,,,,,
3,,5549,,,,,3.331395387649536,,,,,,,,,
,0.00025,5599,,,,,,,,,,,,,,
3,,5599,,,,,2.7671334743499756,,,,,,,,,
,0.00025,5649,,,,,,,,,,,,,,
3,,5649,,,,,3.354029893875122,,,,,,,,,
,0.00025,5699,,,,,,,,,,,,,,
3,,5699,,,,,2.7519543170928955,,,,,,,,,
,0.00025,5749,,,,,,,,,,,,,,
3,,5749,,,,,3.4777822494506836,,,,,,,,,
,0.00025,5799,,,,,,,,,,,,,,
3,,5799,,,,,2.5202980041503906,,,,,,,,,
,0.00025,5849,,,,,,,,,,,,,,
3,,5849,,,,,2.7941083908081055,,,,,,,,,
,0.00025,5899,,,,,,,,,,,,,,
3,,5899,,,,,1.0987927913665771,,,,,,,,,
,0.00025,5949,,,,,,,,,,,,,,
3,,5949,,,,,4.000809192657471,,,,,,,,,
,0.00025,5999,,,,,,,,,,,,,,
3,,5999,,,,,1.6681063175201416,,,,,,,,,
,0.00025,6049,,,,,,,,,,,,,,
3,,6049,,,,,2.3945014476776123,,,,,,,,,
,0.00025,6099,,,,,,,,,,,,,,
3,,6099,,,,,2.222551107406616,,,,,,,,,
,0.00025,6149,,,,,,,,,,,,,,
3,,6149,,,,,1.9519532918930054,,,,,,,,,
,0.00025,6199,,,,,,,,,,,,,,
3,,6199,,,,,3.4976675510406494,,,,,,,,,
,0.00025,6249,,,,,,,,,,,,,,
3,,6249,,,,,2.9517626762390137,,,,,,,,,
,0.00025,6299,,,,,,,,,,,,,,
3,,6299,,,,,2.859527111053467,,,,,,,,,
,0.00025,6349,,,,,,,,,,,,,,
3,,6349,,,,,3.1431477069854736,,,,,,,,,
,0.00025,6399,,,,,,,,,,,,,,
3,,6399,,,,,4.79681396484375,,,,,,,,,
,0.00025,6449,,,,,,,,,,,,,,
3,,6449,,,,,2.1638402938842773,,,,,,,,,
,0.00025,6499,,,,,,,,,,,,,,
3,,6499,,,,,2.9787633419036865,,,,,,,,,
,0.00025,6549,,,,,,,,,,,,,,
3,,6549,,,,,3.620720386505127,,,,,,,,,
,0.00025,6599,,,,,,,,,,,,,,
3,,6599,,,,,2.4675092697143555,,,,,,,,,
,0.00025,6649,,,,,,,,,,,,,,
3,,6649,,,,,2.1509628295898438,,,,,,,,,
,0.00025,6699,,,,,,,,,,,,,,
3,,6699,,,,,1.1055915355682373,,,,,,,,,
,0.00025,6749,,,,,,,,,,,,,,
3,,6749,,,,,1.9267489910125732,,,,,,,,,
,0.00025,6799,,,,,,,,,,,,,,
3,,6799,,,,,2.3251404762268066,,,,,,,,,
,0.00025,6849,,,,,,,,,,,,,,
3,,6849,,,,,0.142115980386734,,,,,,,,,
,0.00025,6899,,,,,,,,,,,,,,
3,,6899,,,,,4.223262310028076,,,,,,,,,
3,,6947,,,,,,,0.5297071933746338,0.011842460371553898,0.04762616008520126,2.3053834438323975,2.3053834438323975,0.6621351838111877,0.007622887380421162,2.3118834495544434
3,,6947,0.544232964515686,0.012900379486382008,0.048556506633758545,2.340036630630493,,0.6707761287689209,,,,,,,,
,0.00025,6949,,,,,,,,,,,,,,
4,,6949,,,,,1.629542350769043,,,,,,,,,
,0.00025,6999,,,,,,,,,,,,,,
4,,6999,,,,,3.5025033950805664,,,,,,,,,
,0.00025,7049,,,,,,,,,,,,,,
4,,7049,,,,,1.4347559213638306,,,,,,,,,
,0.00025,7099,,,,,,,,,,,,,,
4,,7099,,,,,1.6444342136383057,,,,,,,,,
,0.00025,7149,,,,,,,,,,,,,,
4,,7149,,,,,1.6121087074279785,,,,,,,,,
,0.00025,7199,,,,,,,,,,,,,,
4,,7199,,,,,2.200751543045044,,,,,,,,,
,0.00025,7249,,,,,,,,,,,,,,
4,,7249,,,,,1.7853789329528809,,,,,,,,,
,0.00025,7299,,,,,,,,,,,,,,
4,,7299,,,,,1.4136056900024414,,,,,,,,,
,0.00025,7349,,,,,,,,,,,,,,
4,,7349,,,,,2.806483745574951,,,,,,,,,
,0.00025,7399,,,,,,,,,,,,,,
4,,7399,,,,,2.44830322265625,,,,,,,,,
,0.00025,7449,,,,,,,,,,,,,,
4,,7449,,,,,3.546372890472412,,,,,,,,,
,0.00025,7499,,,,,,,,,,,,,,
4,,7499,,,,,1.2074676752090454,,,,,,,,,
,0.00025,7549,,,,,,,,,,,,,,
4,,7549,,,,,2.698808193206787,,,,,,,,,
,0.00025,7599,,,,,,,,,,,,,,
4,,7599,,,,,2.1503727436065674,,,,,,,,,
,0.00025,7649,,,,,,,,,,,,,,
4,,7649,,,,,4.583026885986328,,,,,,,,,
,0.00025,7699,,,,,,,,,,,,,,
4,,7699,,,,,3.6208009719848633,,,,,,,,,
,0.00025,7749,,,,,,,,,,,,,,
4,,7749,,,,,1.6084483861923218,,,,,,,,,
,0.00025,7799,,,,,,,,,,,,,,
4,,7799,,,,,1.9030964374542236,,,,,,,,,
,0.00025,7849,,,,,,,,,,,,,,
4,,7849,,,,,4.20472526550293,,,,,,,,,
,0.00025,7899,,,,,,,,,,,,,,
4,,7899,,,,,2.646479845046997,,,,,,,,,
,0.00025,7949,,,,,,,,,,,,,,
4,,7949,,,,,2.1752254962921143,,,,,,,,,
,0.00025,7999,,,,,,,,,,,,,,
4,,7999,,,,,1.521009922027588,,,,,,,,,
,0.00025,8049,,,,,,,,,,,,,,
4,,8049,,,,,2.466592311859131,,,,,,,,,
,0.00025,8099,,,,,,,,,,,,,,
4,,8099,,,,,1.7341210842132568,,,,,,,,,
,0.00025,8149,,,,,,,,,,,,,,
4,,8149,,,,,0.8664718866348267,,,,,,,,,
,0.00025,8199,,,,,,,,,,,,,,
4,,8199,,,,,1.8596476316452026,,,,,,,,,
,0.00025,8249,,,,,,,,,,,,,,
4,,8249,,,,,3.6380412578582764,,,,,,,,,
,0.00025,8299,,,,,,,,,,,,,,
4,,8299,,,,,3.066671133041382,,,,,,,,,
,0.00025,8349,,,,,,,,,,,,,,
4,,8349,,,,,1.8825334310531616,,,,,,,,,
,0.00025,8399,,,,,,,,,,,,,,
4,,8399,,,,,2.0926153659820557,,,,,,,,,
,0.00025,8449,,,,,,,,,,,,,,
4,,8449,,,,,2.0434179306030273,,,,,,,,,
,0.00025,8499,,,,,,,,,,,,,,
4,,8499,,,,,1.6783506870269775,,,,,,,,,
,0.00025,8549,,,,,,,,,,,,,,
4,,8549,,,,,2.159172296524048,,,,,,,,,
,0.00025,8599,,,,,,,,,,,,,,
4,,8599,,,,,1.9087228775024414,,,,,,,,,
,0.00025,8649,,,,,,,,,,,,,,
4,,8649,,,,,1.2639009952545166,,,,,,,,,
4,,8684,,,,,,,0.5152572989463806,0.011438858695328236,0.04479631036520004,2.2170088291168213,2.2170088291168213,0.6366251111030579,0.0095549076795578,2.2252023220062256
4,,8684,0.5235051512718201,0.011973505839705467,0.04648704081773758,2.2773876190185547,,0.6543455719947815,,,,,,,,
,0.00025,8699,,,,,,,,,,,,,,
5,,8699,,,,,2.293891191482544,,,,,,,,,
,0.00025,8749,,,,,,,,,,,,,,
5,,8749,,,,,2.6128506660461426,,,,,,,,,
,0.00025,8799,,,,,,,,,,,,,,
5,,8799,,,,,2.105959415435791,,,,,,,,,
,0.00025,8849,,,,,,,,,,,,,,
5,,8849,,,,,1.6264595985412598,,,,,,,,,
,0.00025,8899,,,,,,,,,,,,,,
5,,8899,,,,,1.7724316120147705,,,,,,,,,
,0.00025,8949,,,,,,,,,,,,,,
5,,8949,,,,,1.7003123760223389,,,,,,,,,
,0.00025,8999,,,,,,,,,,,,,,
5,,8999,,,,,2.484523057937622,,,,,,,,,
,0.00025,9049,,,,,,,,,,,,,,
5,,9049,,,,,1.0791244506835938,,,,,,,,,
,0.00025,9099,,,,,,,,,,,,,,
5,,9099,,,,,3.336575508117676,,,,,,,,,
,0.00025,9149,,,,,,,,,,,,,,
5,,9149,,,,,3.448624849319458,,,,,,,,,
,0.00025,9199,,,,,,,,,,,,,,
5,,9199,,,,,1.7076563835144043,,,,,,,,,
,0.00025,9249,,,,,,,,,,,,,,
5,,9249,,,,,1.168107271194458,,,,,,,,,
,0.00025,9299,,,,,,,,,,,,,,
5,,9299,,,,,2.531345844268799,,,,,,,,,
,0.00025,9349,,,,,,,,,,,,,,
5,,9349,,,,,2.084665536880493,,,,,,,,,
,0.00025,9399,,,,,,,,,,,,,,
5,,9399,,,,,1.7701096534729004,,,,,,,,,
,0.00025,9449,,,,,,,,,,,,,,
5,,9449,,,,,3.1251962184906006,,,,,,,,,
,0.00025,9499,,,,,,,,,,,,,,
5,,9499,,,,,0.23809795081615448,,,,,,,,,
,0.00025,9549,,,,,,,,,,,,,,
5,,9549,,,,,3.175656318664551,,,,,,,,,
,0.00025,9599,,,,,,,,,,,,,,
5,,9599,,,,,1.6922423839569092,,,,,,,,,
,0.00025,9649,,,,,,,,,,,,,,
5,,9649,,,,,2.7884578704833984,,,,,,,,,
,0.00025,9699,,,,,,,,,,,,,,
5,,9699,,,,,1.0458635091781616,,,,,,,,,
,0.00025,9749,,,,,,,,,,,,,,
5,,9749,,,,,3.7997138500213623,,,,,,,,,
,0.00025,9799,,,,,,,,,,,,,,
5,,9799,,,,,2.025667667388916,,,,,,,,,
,0.00025,9849,,,,,,,,,,,,,,
5,,9849,,,,,2.753758668899536,,,,,,,,,
,0.00025,9899,,,,,,,,,,,,,,
5,,9899,,,,,1.7086906433105469,,,,,,,,,
,0.00025,9949,,,,,,,,,,,,,,
5,,9949,,,,,1.2557464838027954,,,,,,,,,
,0.00025,9999,,,,,,,,,,,,,,
5,,9999,,,,,1.0595641136169434,,,,,,,,,
